iter	RMSE
0	62578.4885
1	62087.34552
2	61567.88043
3	61089.79183
4	60600.68454
5	60106.02794
6	59627.32797
7	59212.48543
8	58754.64711
9	58259.81322
10	57800.39593
11	57368.14302
12	56877.69627
13	56442.0341
14	56004.94569
15	55603.69126
16	55170.04584
17	54752.34658
18	54356.72421
19	53971.5275
20	53551.46161
21	53124.82689
22	52726.3762
23	52337.31462
24	51964.69531
25	51566.82579
26	51159.30246
27	50764.55942
28	50384.94988
29	50009.41449
30	49636.66409
31	49273.14062
32	48904.06068
33	48567.65335
34	48224.33564
35	47890.04928
36	47520.11788
37	47162.248
38	46791.92707
39	46432.34279
40	46084.71773
41	45745.90018
42	45397.43904
43	45076.51048
44	44727.91493
45	44396.52317
46	44064.54837
47	43762.5342
48	43449.62434
49	43117.43698
50	42853.24377
51	42567.34994
52	42266.10509
53	41948.59542
54	41671.355
55	41367.62388
56	41077.1374
57	40789.06699
58	40486.59588
59	40194.6034
60	39935.99743
61	39668.28706
62	39400.63348
63	39128.87068
64	38856.337
65	38572.44817
66	38284.85435
67	38015.03449
68	37786.07781
69	37545.27145
70	37274.27155
71	37017.44318
72	36756.87218
73	36527.83277
74	36297.21095
75	36048.57559
76	35792.03022
77	35547.40075
78	35297.13287
79	35047.07703
80	34816.02779
81	34579.83121
82	34347.71692
83	34124.26475
84	33922.62179
85	33705.7912
86	33481.5457
87	33262.77995
88	33032.90744
89	32824.5386
90	32586.69856
91	32365.38995
92	32140.16309
93	31955.00211
94	31754.48738
95	31542.57178
96	31348.30613
97	31135.11258
98	30934.21731
99	30740.59643
100	30561.09688
101	30352.66936
102	30150.40521
103	29956.43349
104	29762.46265
105	29567.27874
106	29374.92225
107	29182.53276
108	28989.48308
109	28800.14376
110	28612.69409
111	28448.40126
112	28284.56841
113	28106.91394
114	27935.2752
115	27769.66463
116	27595.39467
117	27457.79414
118	27282.57151
119	27144.5811
120	26997.36173
121	26828.44573
122	26694.38459
123	26556.54726
124	26400.72601
125	26248.26223
126	26111.74796
127	25977.43598
128	25828.99785
129	25690.75481
130	25549.87691
131	25399.27176
132	25263.47848
133	25120.3411
134	24966.49439
135	24815.0913
136	24683.93179
137	24546.03932
138	24403.10441
139	24259.47755
140	24132.1211
141	23994.23826
142	23856.92333
143	23727.05062
144	23585.96537
145	23457.5319
146	23337.87682
147	23209.60179
148	23090.05257
149	22968.68646
150	22845.19577
151	22737.66333
152	22613.40557
153	22487.75991
154	22376.20416
155	22258.12624
156	22140.13386
157	22035.44033
158	21909.25786
159	21813.23734
160	21699.72765
161	21602.12265
162	21487.91237
163	21383.48453
164	21295.1065
165	21196.29737
166	21096.07308
167	20982.36312
168	20883.06223
169	20789.89327
170	20691.1929
171	20596.11342
172	20498.88042
173	20400.64861
174	20298.92638
175	20210.74977
176	20111.29446
177	20030.5793
178	19946.43536
179	19858.82419
180	19770.61201
181	19673.85989
182	19587.14436
183	19498.57954
184	19419.4021
185	19336.20105
186	19243.19493
187	19160.58187
188	19068.90436
189	18988.44586
190	18908.22926
191	18830.82499
192	18750.99387
193	18676.52697
194	18586.15552
195	18512.40159
196	18435.6818
197	18356.73667
198	18279.78927
199	18200.23676
200	18131.42048
201	18063.82093
202	17997.25298
203	17921.79501
204	17856.5869
205	17792.57427
206	17714.65585
207	17639.82277
208	17573.15029
209	17508.60267
210	17439.59648
211	17370.79033
212	17299.57067
213	17230.84703
214	17165.64644
215	17087.724
216	17017.90617
217	16961.5868
218	16902.71439
219	16828.17023
220	16762.4048
221	16703.57287
222	16639.79568
223	16570.82392
224	16506.59278
225	16446.24815
226	16378.27236
227	16322.67369
228	16271.37539
229	16204.29033
230	16134.69297
231	16083.7358
232	16025.63548
233	15966.32938
234	15916.98796
235	15860.13185
236	15801.10452
237	15743.53396
238	15693.47288
